date,open,high,low,close,volume
2019-07-23,673.25,675.5499877929688,665.75,671.2000122070312,1462269
2019-07-24,670.3499755859375,679.7999877929688,651.4500122070312,660.4500122070312,3060459
2019-07-25,647.7999877929688,657.6500244140625,641.5,652.5,2751865
2019-07-26,649.7000122070312,651.0,641.0499877929688,643.5,1637706
2019-07-29,641.0,654.6500244140625,641.0,646.2999877929688,2524484
2019-07-30,645.0,650.2999877929688,633.1500244140625,640.25,2882913
2019-07-31,629.0,639.7999877929688,607.1500244140625,636.25,9651731
2019-08-01,632.0499877929688,633.4500122070312,619.0,625.6500244140625,3982949
2019-08-02,625.0,639.0999755859375,618.4000244140625,636.1500244140625,2172845
2019-08-05,631.1500244140625,651.0499877929688,625.2999877929688,648.0499877929688,3140140
2019-08-06,650.0999755859375,679.8499755859375,650.0999755859375,670.5999755859375,7226321
2019-08-07,671.7999877929688,678.5,670.2999877929688,674.4500122070312,3239880
2019-08-08,674.0,683.9000244140625,665.0,680.2000122070312,2708834
2019-08-09,679.0,680.75,659.75,663.3499755859375,3743407
2019-08-13,661.0999755859375,662.5,636.0,639.1500244140625,2716622
2019-08-14,639.0499877929688,662.5,638.9000244140625,659.0999755859375,2627043
2019-08-16,656.9000244140625,661.0,646.1500244140625,659.0,3067796
2019-08-19,662.0,674.4000244140625,661.5,670.3499755859375,2871173
2019-08-20,674.0,680.0,664.6500244140625,668.9000244140625,3913608
2019-08-21,670.0,675.0,669.2999877929688,672.7999877929688,2106655
2019-08-22,672.6500244140625,684.0,668.0999755859375,682.75,3353812
2019-08-23,684.25,694.4000244140625,679.4000244140625,683.8499755859375,7015461
2019-08-26,689.7999877929688,693.0,670.2000122070312,691.1500244140625,1767289
2019-08-27,689.8499755859375,689.8499755859375,673.2000122070312,676.3499755859375,3160545
2019-08-28,676.0,693.4500122070312,676.0,690.2000122070312,2749273
2019-08-29,684.1500244140625,694.0,681.0,691.1500244140625,2789979
2019-08-30,693.0,700.7000122070312,675.8499755859375,693.6500244140625,3067856
2019-09-03,698.0,716.9000244140625,698.0,704.5,5044667
2019-09-04,705.0,709.75,692.2000122070312,703.25,2027768
2019-09-05,710.0,710.0,691.0499877929688,695.4500122070312,2019839
2019-09-06,716.3499755859375,734.4500122070312,716.3499755859375,721.75,10663234
2019-09-09,723.0,723.0,710.0,712.9000244140625,1754023
2019-09-11,718.0,723.25,701.25,703.7000122070312,2702792
2019-09-12,701.0999755859375,709.2000122070312,694.0,705.5499877929688,3282740
2019-09-13,705.25,711.2999877929688,701.0,709.5,1073430
2019-09-16,710.0999755859375,723.25,710.0999755859375,719.4500122070312,2500556
2019-09-17,719.9000244140625,719.9000244140625,699.1500244140625,705.9500122070312,2948429
2019-09-18,710.0,718.0999755859375,701.9000244140625,716.75,1666369
2019-09-19,715.7000122070312,715.7000122070312,700.0,703.3499755859375,1570183
2019-09-20,701.2999877929688,716.2000122070312,696.0499877929688,700.8499755859375,3394351
2019-09-23,703.0,704.9500122070312,675.0999755859375,682.7999877929688,2256769
2019-09-24,686.0499877929688,705.9000244140625,683.7000122070312,703.8499755859375,3128057
2019-09-25,704.0499877929688,709.9500122070312,698.0,705.9000244140625,3512690
2019-09-26,705.4500122070312,716.0,701.7999877929688,713.7000122070312,3300104
2019-09-27,710.0,718.6500244140625,702.0499877929688,704.2999877929688,2434719
2019-09-30,704.5,716.5999755859375,696.2000122070312,714.5,2136186
2019-10-01,715.0,715.0,700.0,704.9500122070312,1709480
