date,open,high,low,close,volume
2019-07-23,338.07501220703125,338.2749938964844,335.70001220703125,337.25,8570
2019-07-24,335.6000061035156,339.125,335.5249938964844,336.5,9316
2019-07-25,333.5,337.5,333.5,336.3999938964844,8398
2019-07-26,338.5,344.0,336.75,337.9750061035156,27988
2019-07-29,337.5,344.0,337.42498779296875,337.625,10704
2019-07-30,335.5,339.4750061035156,335.5,337.32501220703125,12750
2019-07-31,333.54998779296875,337.0,330.0,330.625,10672
2019-08-01,329.95001220703125,330.57501220703125,324.0,325.95001220703125,8738
2019-08-02,320.5,325.75,320.0,321.3999938964844,11850
2019-08-05,321.3999938964844,321.3999938964844,313.0,315.17498779296875,10982
2019-08-06,312.5249938964844,320.0,312.5249938964844,317.625,9262
2019-08-07,316.0,321.57501220703125,316.0,317.67498779296875,4112
2019-08-08,312.5,318.29998779296875,312.5,316.7749938964844,6282
2019-08-09,317.29998779296875,324.9750061035156,317.29998779296875,321.125,10400
2019-08-13,323.9750061035156,323.9750061035156,313.8999938964844,318.4750061035156,9760
2019-08-14,337.5,340.0,325.5,328.9750061035156,79248
2019-08-16,330.0,331.25,323.04998779296875,326.25,15242
2019-08-19,320.54998779296875,330.0,320.54998779296875,329.54998779296875,10416
2019-08-20,322.6499938964844,335.0,322.6499938964844,333.9750061035156,15328
2019-08-21,331.375,333.29998779296875,330.5,331.5,11578
2019-08-22,331.5,331.5,323.57501220703125,325.0,65252
2019-08-23,318.0,325.0,317.0,322.92498779296875,15324
2019-08-26,337.5,337.5,320.7749938964844,322.3500061035156,9928
2019-08-27,322.3500061035156,328.92498779296875,322.3500061035156,325.6000061035156,7758
2019-08-28,325.0249938964844,332.9750061035156,325.0,328.0249938964844,9040
2019-08-29,328.0,328.0,323.5,325.20001220703125,8732
2019-08-30,326.0,327.4750061035156,319.25,325.0249938964844,11340
2019-09-03,319.0,325.0,319.0,322.5,6516
2019-09-04,319.5,327.5,317.17498779296875,324.54998779296875,8462
2019-09-05,321.75,332.5,321.75,330.0,9864
2019-09-06,330.0,337.79998779296875,329.5249938964844,336.70001220703125,16574
2019-09-09,350.8500061035156,357.875,347.5,352.5249938964844,88888
2019-09-11,353.0,354.45001220703125,347.5,348.3999938964844,21910
2019-09-12,348.5,352.5,341.5,343.0,12262
2019-09-13,344.5,354.75,341.5,352.82501220703125,23230
2019-09-16,355.0,367.6000061035156,353.0,365.17498779296875,132616
2019-09-17,368.95001220703125,370.45001220703125,360.54998779296875,361.5,38110
2019-09-18,362.5249938964844,370.0,361.25,364.95001220703125,22460
2019-09-19,363.0,388.0,361.25,372.95001220703125,487202
2019-09-20,375.0,383.45001220703125,372.32501220703125,378.04998779296875,78058
2019-09-23,380.0,385.0,373.0,377.54998779296875,43994
2019-09-24,370.6499938964844,376.4750061035156,367.5,371.95001220703125,19632
2019-09-25,371.95001220703125,374.3500061035156,371.7749938964844,372.9750061035156,20334
2019-09-26,372.9750061035156,379.0,370.2250061035156,373.04998779296875,26872
2019-09-27,373.04998779296875,373.04998779296875,362.5,364.70001220703125,51994
2019-09-30,371.5,371.5,350.0,353.1499938964844,23984
2019-10-01,358.95001220703125,359.0,344.0,347.3500061035156,32154
2019-10-03,346.5,354.79998779296875,343.0,351.875,14314
2019-10-04,351.5,354.875,330.75,347.82501220703125,14788
2019-10-07,350.0,351.875,344.5,345.625,17638
2019-10-09,351.5,354.0,348.25,350.07501220703125,24548
2019-10-10,350.07501220703125,350.95001220703125,343.8500061035156,350.0249938964844,12632
