date,open,high,low,close,volume
2019-07-23,1090.0,1109.9000244140625,1086.4000244140625,1099.1500244140625,2527679
2019-07-24,1101.0,1110.0,1081.25,1087.4000244140625,1732174
2019-07-25,1093.9000244140625,1100.699951171875,1084.5999755859375,1090.449951171875,1770220
2019-07-26,1085.800048828125,1112.199951171875,1083.0,1106.4000244140625,1128870
2019-07-29,1106.9000244140625,1109.0,1071.9000244140625,1078.9000244140625,1661014
2019-07-30,1080.0,1093.5999755859375,1072.0999755859375,1079.199951171875,2335907
2019-07-31,1079.1500244140625,1079.1500244140625,1041.0,1056.3499755859375,3050699
2019-08-01,1052.0999755859375,1069.3499755859375,1041.4000244140625,1057.300048828125,2321381
2019-08-02,1062.0,1075.4000244140625,1046.050048828125,1064.699951171875,1789229
2019-08-05,1059.5,1059.5,1026.5999755859375,1036.800048828125,1962260
2019-08-06,1027.0,1070.0,1021.25,1046.699951171875,5738839
2019-08-07,1022.0,1040.9000244140625,998.0,1028.449951171875,8983860
2019-08-08,1036.0,1059.800048828125,1011.6500244140625,1041.0999755859375,2553976
2019-08-09,1050.0,1077.0,1041.5,1067.0,2944544
2019-08-13,1070.0,1088.5,1056.0999755859375,1063.8499755859375,3293100
2019-08-14,1054.0999755859375,1090.8499755859375,1051.050048828125,1084.0,1834669
2019-08-16,1075.0,1084.300048828125,1070.199951171875,1075.800048828125,1366746
2019-08-19,1104.699951171875,1104.699951171875,1080.1500244140625,1088.949951171875,1467603
2019-08-20,1090.9000244140625,1095.75,1075.550048828125,1092.3499755859375,1584464
2019-08-21,1090.5,1097.0,1060.300048828125,1065.300048828125,1344715
2019-08-22,1065.800048828125,1070.0,1048.050048828125,1061.75,1182766
2019-08-23,1062.300048828125,1082.9000244140625,1040.0,1073.5,1925420
2019-08-26,1094.699951171875,1106.800048828125,1061.6500244140625,1102.449951171875,2601437
2019-08-27,1108.0,1130.1500244140625,1099.199951171875,1123.699951171875,2825727
2019-08-28,1129.0,1131.5,1107.5,1110.949951171875,1599333
2019-08-29,1111.5,1115.0,1096.550048828125,1101.800048828125,1204392
2019-08-30,1107.050048828125,1113.0,1095.0,1105.0999755859375,1454803
2019-09-03,1098.0,1098.300048828125,1052.949951171875,1059.6500244140625,1858383
2019-09-04,1060.0,1069.0,1025.5,1037.199951171875,2881072
