date,open,high,low,close,volume
2019-07-23,21049.650390625,21390.0,20616.80078125,20758.69921875,18967
2019-07-24,20825.0,20849.900390625,20431.099609375,20675.55078125,14107
2019-07-25,20503.0,21295.0,20503.0,21189.55078125,24595
2019-07-26,21170.0,21541.400390625,20955.150390625,21431.30078125,16163
2019-07-29,21431.25,21476.650390625,20961.5,21095.44921875,13281
2019-07-30,21087.44921875,21232.94921875,20601.0,20768.69921875,23220
2019-07-31,20551.19921875,20673.55078125,19889.55078125,20164.25,46252
2019-08-01,20063.0,20150.0,19691.0,20001.75,48049
2019-08-02,19999.0,20098.0,19564.099609375,20001.19921875,28627
2019-08-05,19750.0,20045.0,19662.349609375,19964.69921875,14878
2019-08-06,19880.0,20424.94921875,19825.5,20206.44921875,36366
2019-08-07,20206.0,20647.05078125,20000.150390625,20180.849609375,20085
2019-08-08,20201.0,20539.099609375,19563.0,20109.94921875,27813
2019-08-09,20295.0,20918.30078125,20101.0,20270.0,52782
2019-08-13,20000.5,20078.0,19401.44921875,19698.75,94885
2019-08-14,19730.0,20073.75,19470.099609375,19676.69921875,26811
2019-08-16,19839.0,19839.0,19210.099609375,19475.849609375,24210
2019-08-19,19750.0,19750.0,19314.19921875,19409.650390625,10896
2019-08-20,19467.849609375,19475.900390625,18755.0,19008.5,42664
2019-08-21,19100.0,19100.05078125,18668.55078125,18701.94921875,42828
2019-08-22,18672.400390625,18789.94921875,18311.05078125,18439.05078125,21633
2019-08-23,18370.0,18500.0,18272.30078125,18409.349609375,51752
2019-08-26,18687.0,18923.0,17929.150390625,18781.150390625,23442
2019-08-27,18802.5,19599.44921875,18800.0,19066.80078125,24935
2019-08-28,19066.80078125,19499.25,18959.05078125,19110.19921875,7427
2019-08-29,19110.19921875,19210.94921875,18400.0,18520.0,38054
2019-08-30,18570.0,18614.94921875,18279.0,18573.80078125,31940
2019-09-03,18579.0,18579.0,17630.30078125,17810.400390625,41193
2019-09-04,17826.0,17848.099609375,17285.69921875,17711.150390625,35965
2019-09-05,17791.849609375,18039.900390625,17466.0,17602.75,36486
2019-09-06,17650.599609375,17960.0,17507.94921875,17870.5,19786
2019-09-09,17870.5,18250.0,17616.0,18068.400390625,26145
2019-09-11,18198.94921875,18573.099609375,17921.400390625,18490.349609375,66945
2019-09-12,18562.30078125,18645.05078125,18327.55078125,18582.05078125,23415
2019-09-13,18600.0,18951.0,18469.349609375,18798.44921875,15363
2019-09-16,18700.0,19037.849609375,18573.55078125,18897.05078125,19422
2019-09-17,19065.0,19065.0,18457.05078125,18693.44921875,27802
2019-09-18,18932.19921875,18932.19921875,18518.5,18687.19921875,15362
2019-09-19,18700.0,18700.0,17780.0,17927.099609375,21848
